month,fossil,nuclear,hydro,wind,solar,other_renewable,other,total_generation,price_actual,total_load_actual,renewable_share
2016-11-01,8598069,3984694,2829223,4151804,684995,317546,239510,20805841,62.58105555555556,29138.94305555556,0.3837176300635961
2016-12-01,9008283,4706522,3022263,3362706,680742,319077,246483,21346076,67.59513440860215,28939.314516129034,0.3459552940784058
2017-01-01,9608419,5036818,2594252,4823574,809783,332187,263220,23468253,79.49208333333334,30238.952956989237,0.36473937791620026
2017-02-01,7283468,4528788,2240844,3582394,777814,299896,233628,18946832,59.83779761904762,28947.166666666668,0.3642270116713971
2017-03-01,6644978,5019672,2767290,4178000,1051413,282405,253063,20196821,50.95989232839838,28614.15208613728,0.40992134356193977
2017-04-01,6458953,4806996,2156613,4134002,1057556,271247,242846,19128213,51.71791666666667,27067.830555555563,0.39833402106093235
2017-05-01,7971872,4137563,2216455,3743736,1339239,334986,256112,19999963,53.772620967741936,27821.625,0.38172150618478645
2017-06-01,9405819,4365979,1869669,4022300,1381697,311101,253918,21610483,56.25822222222222,30351.688888888897,0.350976283130738
2017-07-01,9587359,4551348,1647702,3570811,1506689,343061,249005,21455975,55.25258064516129,30095.010752688177,0.32943098600739423
2017-08-01,8411850,4966830,1574132,3235295,1305095,338614,273162,20104978,54.08432795698925,28731.569892473122,0.320972049807764
2017-09-01,8680571,4627936,1730561,2796393,1246584,321725,253330,19657100,55.81655555555555,28175.276388888888,0.3100794623825488
2017-10-01,9038095,4472797,1629177,3899926,1001523,327476,257968,20626962,63.925288590604026,27666.567785234907,0.33248240821891273
2017-11-01,10798002,4006956,1690773,3744136,850065,323636,238263,21651831,65.43065277777778,29594.51810584958,0.3052217616145258
2017-12-01,8137156,5070463,2324207,5399398,770357,326608,264566,22292755,65.15127688172043,28986.067204301078,0.3956698039340584
2018-01-01,7541661,5002425,2866942,4610899,782256,327978,267905,21400066,56.51197580645161,29674.002688172048,0.4013106782007121
2018-02-01,6931869,4320539,2985267,4612981,837386,307285,246323,20241650,60.877098214285716,30306.584821428565,0.43192718973008626
2018-03-01,5576764,4526122,4934200,6517032,1004773,300838,266804,23126533,48.279717362045766,29439.96500672948,0.5516106975481366
2018-04-01,5697188,3963006,4536442,3808258,1081186,285512,247293,19618885,50.40073611111111,27886.337499999994,0.49500254474196675
2018-05-01,7469365,4066109,3459603,3265969,1136013,311661,225177,19933897,61.633763440860214,28028.095430107518,0.41001746923845345
2018-06-01,6830130,4034324,3591524,3441192,1335742,326047,249327,19808286,64.34813888888888,29243.97913769124,0.43893272744547407
2018-07-01,7926557,4548286,3108251,3016511,1493687,344706,268954,20706952,67.78344086021505,29598.872139973082,0.38456432409753016
2018-08-01,8053345,4951559,2611005,3242783,1269956,340708,269324,20738680,70.36391129032258,29060.54973118279,0.3599289829439482
2018-09-01,8170112,4767839,2414387,3071512,1087670,328077,263166,20102763,76.91404166666666,29165.925000000003,0.3433182791838117
2018-10-01,7902539,4871645,2676340,4586920,744841,310326,272252,21364863,70.36221476510067,28081.84832214765,0.38935082335889537
2018-11-01,8951977,3890518,3075540,4361442,598801,315767,249999,21444044,66.6235138888889,29454.820833333335,0.3894577907040295
2018-12-01,7815381,4330937,3237534,4379720,651439,309536,258105,20982652,67.04260752688172,28929.169354838716,0.40882482347798554
