date,renewable_share,fossil,nuclear,hydro,wind,solar,total_generation,price_actual,total_load_actual,temp_c,wind_speed
2017-02-07,0.4684613076168152,174564,144106,65510,151017,61670,616465,63.8375,24118.25,11.543366564417187,3.066666666666667
2017-02-08,0.2431220538869318,386836,161726,39944,77041,51032,735503,63.74333333333333,31892.458333333336,8.754148773006136,4.558333333333334
2017-02-09,0.41517169438278567,163554,164649,54202,123970,49870,577101,69.19916666666667,26228.875,6.725043456032722,2.3166666666666664
2017-02-10,0.26839307202768314,337288,143046,44644,84273,40358,668132,72.10708333333334,28762.333333333336,6.621012269938641,1.9916666666666667
2017-02-11,0.24667760761254331,383502,120115,45795,97034,13742,679405,61.23416666666667,28038.791666666668,8.545981595092016,2.75
2017-02-12,0.4036225787688075,344685,124312,37745,249228,25406,801142,50.33416666666667,30361.083333333332,11.575475460122703,4.016666666666667
2017-02-13,0.4700378677541509,229684,170519,112031,228612,12359,772425,59.77166666666667,30948.375,12.328445759841514,4.8999999999999995
2017-02-14,0.3597910391292327,261186,170606,106480,110868,19286,687210,64.01208333333334,31196.333333333332,9.33313387493611,1.9583333333333333
2017-02-15,0.3412512619107623,273679,170619,93814,106411,23521,686459,64.40041666666667,30599.5,9.003812883435607,2.033333333333333
2017-02-16,0.2997312799923636,305070,170618,97074,76310,22970,691426,64.38666666666667,30736.041666666668,9.485569785276091,1.8
2017-02-17,0.26079230564481715,318193,170557,96185,37502,30338,672493,66.73375,30490.041666666668,8.940876533742376,1.425
2017-02-18,0.2476151992746666,272254,170550,80563,37136,19479,598897,60.11875,27658.5,8.415853783231121,1.45
2017-02-19,0.4061040480917545,207901,170487,96524,137841,19352,650257,53.64208333333333,25521.125,9.107272239263828,2.525
2017-02-20,0.363173239349672,276038,170443,80544,141549,26408,712748,60.705416666666665,29987.541666666664,8.12275817995912,2.1333333333333333
2017-02-21,0.3625322051576304,272838,170475,85483,135076,25520,707573,58.77125,30444.5,9.466341353527636,1.725
2017-02-22,0.31414351576033656,270477,170445,97829,76683,20147,654618,59.469166666666666,30482.791666666668,11.390028118609411,1.5
2017-02-23,0.28734908816629107,287118,166945,102834,63705,8369,648309,62.77291666666667,30653.5,12.0389391615542,1.6333333333333333
2017-02-24,0.3920045320746767,248205,170391,75189,174001,14834,702548,58.184583333333336,30229.083333333332,12.021891615541927,1.6
2017-02-25,0.3263312343135606,225131,170493,73258,85168,25409,600439,56.88875,27123.041666666668,10.18661554192229,1.3916666666666666
2017-02-26,0.3138629379171632,211532,170481,71110,74796,21151,569771,54.76,25185.583333333332,9.69363752556238,1.4333333333333333
2017-02-27,0.5058086499432783,181960,170075,85624,253240,18526,728999,53.670833333333334,29250.916666666668,11.610276073619627,3.4166666666666665
2017-02-28,0.543709974728323,176604,170406,87797,309364,14739,777946,48.932916666666664,29554.458333333332,12.06894683026585,4.516666666666667
2017-03-01,0.2780846872332708,356009,170458,97570,87049,10922,741623,56.18833333333333,31280.625,11.086352249488773,2.025
2017-03-02,0.5034849156667823,191913,170484,81190,273463,10634,746503,57.63041666666667,31122.75,11.010633946830279,1.2666666666666666
2017-03-03,0.5258871486079632,157216,170454,86419,264769,11624,709464,49.110416666666666,30546.958333333332,10.027668711656453,3.341666666666667
2017-03-04,0.39613760330777803,197532,170246,108871,76946,52677,622049,43.8625,28108.541666666668,8.499823619631899,5.016666666666667
2017-03-05,0.3543779670494164,232118,167766,76774,79975,58989,631309,37.345,28159.25,10.327699386503067,3.2416666666666667
2017-03-06,0.3594903608185911,265569,95596,55822,93065,47592,578213,51.39541666666667,26433.291666666668,15.236781697341524,4.075
2017-03-07,0.35492427910361485,287094,143498,45242,122834,63110,681582,55.904583333333335,29163.625,14.301477505112498,2.783333333333333
2017-03-08,0.23955221728256704,383459,162349,48326,55764,58924,728121,56.1475,32539.5,13.971574642126793,1.825
2017-03-09,0.3100832685863176,178040,164634,40035,65935,40684,509676,56.677083333333336,24466.125,14.676697341513304,1.7750000000000001
2017-03-10,0.2344334088739589,373793,143024,35634,72047,43467,686165,56.15541666666667,28905.166666666668,15.391843047034786,1.5
2017-03-11,0.20962976048654614,394980,120413,45190,68930,13448,662301,54.073750000000004,28548.625,14.41134202453988,1.9749999999999999
2017-03-12,0.36077004358737286,344519,130658,51262,183720,27509,757100,32.82666666666667,28407.25,13.171848159509207,3.5166666666666666
2017-03-13,0.5745446664344237,142363,170162,99826,311289,12500,752086,41.656666666666666,29128.291666666664,12.391270449897743,5.125
2017-03-14,0.5459728093545233,145859,170371,98274,266172,16379,713922,46.7325,29724.875,13.835393660531707,3.725
2017-03-15,0.49605526821844254,147226,168743,103557,169187,36886,643263,52.05458333333333,29014.125,13.28196063394683,2.0083333333333333
2017-03-16,0.476097605367291,163397,162867,108022,147099,38078,637342,52.54875,28962.25,12.721053169734166,2.375
2017-03-17,0.43532574138183155,172777,163002,110660,109133,35193,608627,53.560833333333335,28574.416666666668,12.718645194274036,2.025
2017-03-18,0.4054241026147836,168791,166160,103526,75660,45500,576759,50.700833333333335,25265.875,13.096002044989785,1.7833333333333334
2017-03-19,0.37997243081835386,157405,170067,101106,49186,46308,541184,53.18083333333333,23280.375,13.907893660531705,1.35
2017-03-20,0.3828131081186269,178245,170379,102273,67176,43057,578115,54.60125,27324.083333333332,14.645529141104298,1.8833333333333333
2017-03-21,0.4771795899472132,157997,170373,110068,166415,22387,643722,52.889583333333334,28937.416666666668,12.390089468302666,2.408333333333333
2017-03-22,0.5206295645197447,146581,170415,110686,210569,24362,678056,46.22958333333333,29678.208333333332,11.30394683026586,3.375
2017-03-23,0.43253399479807,188690,170566,115092,130277,26383,647452,52.83708333333333,30313.458333333332,8.215132924335384,3.0666666666666664
2017-03-24,0.34806542089219,243943,170595,141721,48687,27006,648539,58.48083333333334,30633.416666666668,7.200779652351743,1.9166666666666667
2017-03-25,0.45277485879416784,154567,170628,105969,139208,22238,609040,47.50375,27742.125,8.027328732106351,3.0083333333333333
2017-03-26,0.49893113452435484,130785,163506,93162,172526,27401,602508,44.127826086956524,25119.260869565216,11.31348332888771,2.982608695652174
2017-03-27,0.44669536037350455,200706,170551,116091,163392,20031,685400,52.31791666666667,29709.583333333336,11.856873721881389,3.4583333333333335
2017-03-28,0.3641108417389994,226350,170488,103727,81604,39635,636872,54.91291666666667,29502.708333333332,12.222624744376276,1.825
2017-03-29,0.3721764471526778,216992,170427,93328,84627,49639,630013,55.10375,29131.208333333332,13.57923568507158,1.6666666666666665
2017-03-30,0.44510312404518326,183320,170431,85104,158998,38409,651303,52.89833333333333,28647.125,14.459135991820052,2.125
2017-03-31,0.49171161649294165,156742,170361,92763,182298,40441,658512,49.817083333333336,28522.583333333332,14.795690184049079,2.625
2017-04-01,0.30249150667666835,349899,170453,70882,135229,12619,758537,40.1475,31093.291666666668,13.209706032719838,3.066666666666667
2017-04-02,0.5600194789383979,148258,159933,104613,278532,8730,718725,44.05583333333333,27751.458333333332,12.709153885480582,2.3666666666666667
2017-04-03,0.5369314294213893,132175,170554,101161,237148,12554,672300,56.219166666666666,27762.375,13.422883435582811,1.8833333333333333
